Department,Category,Item Lookup Code,Description,Price
TOBACCO,60CT CIGAR,031700234211,WHITE OWL EMERALD 2/99 30CT2PK,25.99
TOBACCO,60CT CIGAR,025900426866,SWISHER CREAM 2/99 30CT 2PK,25.99
TOBACCO,SMOKE TOBACCO,AMERICA BEST 12CT,AMERICA'S BEST CHEW GOLD12C3OZ,105
TOBACCO,30CT CIGAR,031700234808,GARCIA VEGA NATURAL 2/1.29 15C,19
TOBACCO,24CT CIGAR,071610302372,BACKWOOD SINGLE HONEY BRBN24CT,34
TOBACCO,60CT CIGAR,071610760646,AYC GRENADIERS 2PK SPEC 60CT,72
TOBACCO,60CT CIGAR,025900286743,SWISHER SWEET B1G1 20PK 5CT,48.5
TOBACCO,60CT CIGAR,031700420201,WHITE OWL SAVEON2 GRAPE 60CT,40.99
TOBACCO,60CT CIGAR,031700009802,GAME PINEAPPLE 2/99 30CT,27.5
TOBACCO,60CT CIGAR,031700009765,WHITE OWL PINEAPPLE 2/99 30CT2,25.99
TOBACCO,60CT CIGAR,031700232293,WHITE OWL BLK CHERRY 99c 60CT,27.5
TOBACCO,60CT CIGAR,025900294212,SWISHER GRAPE 2/99 30CT2PK,25.99
TOBACCO,60CT CIGAR,031700238455,WHITE OWL BLKWHT RUSS 2/99 ,25.99
TOBACCO,24CT CIGAR,071610302778,BACKWOOD SINGLE DARK STOUT24CT,34
TOBACCO,24CT CIGAR,071610301962,BACKWOOD ORIGINAL SINGLE 24CT,34
TOBACCO,60CT CIGAR,031700238790,WHITE OWL SWIRL 2/99 30CT2PK,25.99
TOBACCO,60CT CIGAR,025900278847,SWISHER SV2 WHITE GRAPE 60CT,40.99
TOBACCO,25CT CIGAR,070137512776,BLACK N MILD CASINO 99c ,23.5
TOBACCO,60CT CIGAR,031700234631,WHITE OWL SAVEON2 PLATINUM60CT,40.99
TOBACCO,60CT CIGAR,031700009840,GAME HONEY 2/99 30CT ,27.5
TOBACCO,60CT CIGAR,025900309725,SWISHER SILVER SV2 30CT 2PK,35.99
TOBACCO,60CT CIGAR,1.086E+13,THROWBACK 5PK ORGIN,32
TOBACCO,60CT CIGAR,1.086E+13,THROWBACK 5PK WILD BERRY,32
TOBACCO,60CT CIGAR,025900309541,SWISHER WMELONHZ 2/1.19 60CT,31
TOBACCO,60CT CIGAR,031700233139,WHITE OWL SAVEON2 TROP TWST60 ,40.99
TOBACCO,MOIST SNUFF,073100010897,COPENHAGEN SNUFF 6OZ,32.5
TOBACCO,60CT CIGAR,025900279080,SWISHER WHT GRAPE 2/1.19 60CT,31
TOBACCO,60CT CIGAR,DUTCHDIAMOND,DUTCH DIAMOND 2/129 60CT,32.99
TOBACCO,60CT CIGAR,031700234204,WHITE OWL PLATINUM 99c 60CT,25.99
TOBACCO,60CT CIGAR,031700237731,WHITE OWL EMERALD 2/1.19 60CT,31
TOBACCO,60CT CIGAR,8.18892E+11,4K MELONBERRY,12.5
TOBACCO,60CT CIGAR,8.18892E+11,4K'S KINGS CIG STRW LEMONADE,12.5
